,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_pumilum,16,0.0005681249999999999,16,0.0,0.4893276913811266,0.0,0.07995295353294264,0.31384517580841664,21,0.0005571428571428571,21,0.0,0.5405624776173352,0.0,0.019889651055292425,0.0938575364059508
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Kingella|s__Kingella_oralis,16,0.0,16,0.06343625,0.6227705469129756,inf,0.07995295353294264,0.31384517580841664,21,0.0,21,0.0900247619047619,0.7420385643190623,inf,0.019984874671989523,0.0938575364059508
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus,16,1.737219375,16,0.0069575,0.4037779205602402,0.004004963391569358,0.0028741515627773457,0.06299182175087016,21,0.07938619047619047,21,0.005300952380952381,0.4030828305012344,0.06677423805267799,0.02282094351001223,0.10529663409005643
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,16,0.10149812500000001,16,0.242058125,0.34612797380542454,2.384853168469861,0.13570581784283148,0.42270865154164555,21,0.14736714285714286,21,0.2599552380952381,0.2530519676878971,1.763997272765461,0.024664288626959102,0.11183979153259041
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_sp_HMSC24B09,16,0.0027793749999999997,16,0.001965625,0.0994503404280611,0.7072183494490668,0.5762867983413401,0.7732827957335329,21,0.0022552380952380953,21,0.0,0.6694619270045785,0.0,0.04010009974659355,0.12068461865171026
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva,16,0.0020887500000000003,16,0.002735625,0.07186137175177741,1.3096947935368042,0.6281674133333914,0.8098432828758919,21,0.0015542857142857144,21,0.0,0.6694619270045785,0.0,0.04010009974659355,0.12068461865171026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_media,16,0.04600625,16,0.028333125,0.1183518845419854,0.6158538242086673,0.6281674133333914,0.8098432828758919,21,0.2804190476190476,21,0.0054514285714285715,1.0608766957318563,0.019440293438391522,0.036233156533840336,0.12068461865171026
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_cinerea,16,0.008329375,16,0.0006725,0.5034699650927692,0.08073835071659038,0.16116359366701571,0.42270865154164555,21,0.010422857142857142,21,0.0,0.6694619270045783,0.0,0.04010009974659355,0.12068461865171026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,16,0.32413625,16,0.0,0.9439995433337796,0.0,0.0016512126415977452,0.04825210274891189,21,0.0009504761904761904,21,0.0,0.6694619270045784,0.0,0.04010009974659355,0.12068461865171026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_veroralis,16,0.011150624999999999,16,0.044035,0.6392954487368462,3.9491059918166025,0.33684551405845153,0.5423424523619249,21,0.009132857142857142,21,0.06877619047619046,0.9784933795814961,7.530632462589289,0.03995137025192065,0.12068461865171026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_salivae,16,0.9929443750000001,16,0.5200875,0.39621186190351276,0.5237831172566942,0.4440087293584055,0.6560353697823632,21,1.2339357142857141,21,0.39654999999999996,0.6509128677728365,0.32137006442799176,0.03386118599656945,0.12068461865171026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis,16,0.021845625,16,0.06736,0.23358094417544417,3.083454925185249,0.5762867983413401,0.7732827957335329,21,0.13315428571428573,21,0.004397142857142856,1.044809848298426,0.03302291648785511,0.036233156533840336,0.12068461865171026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci,16,0.7939456250000001,16,0.1148575,0.9765181242297177,0.14466670812626492,0.002690397970553833,0.06299182175087016,21,0.5448966666666666,21,0.10567428571428572,0.7632522392697418,0.19393454241651764,0.027398401137769004,0.12068461865171026
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Simonsiella|s__Simonsiella_muelleri,16,0.02612875,16,0.0,0.5499316419843716,0.0,0.0388492828867333,0.23221275907297403,21,0.00022285714285714286,21,0.0,0.6694619270045784,0.0,0.04010009974659355,0.12068461865171026
